14/02/2016 15:34:22 - New match 11348965 has started
14/02/2016 15:36:04 - Player1 killed Player4 using AK47
14/02/2016 15:36:08 - Player1 killed Player3 using Sword
14/02/2016 15:36:16 - Player1 killed Player2 by M16
14/02/2016 15:36:33 - <WORLD> killed Player4 by DROWN
14/02/2016 15:36:36 - <WORLD> killed Player1 by DROWN
14/02/2016 15:36:40 - Player2 killed Player4 by AK47
14/02/2016 15:36:45 - Player3 killed Player1 by Sword
14/02/2016 15:37:02 - Player3 killed Player2 by Sword
14/02/2016 15:46:04 - Player4 killed Player1 using AK47
14/02/2016 15:46:08 - Player1 killed Player4 using M16
14/02/2016 15:46:16 - Player1 killed Player2 by M16
14/02/2016 15:46:33 - <WORLD> killed Player4 by DROWN
14/02/2016 15:46:36 - <WORLD> killed Player1 by DROWN
14/02/2016 15:56:04 - Player1 killed Player4 using Bomb
14/02/2016 15:56:08 - Player2 killed Player1 using Bomb
14/02/2016 15:56:14 - Player2 killed Player3 using Bomb
14/02/2016 15:56:16 - Player1 killed Player2 by M16
14/02/2016 15:56:33 - <WORLD> killed Player4 by DROWN
14/02/2016 15:56:36 - <WORLD> killed Player1 by DROWN
14/02/2016 15:66:04 - Player1 killed Player4 using M16
14/02/2016 15:66:08 - Player3 killed Player2 using M16
14/02/2016 15:66:16 - Player1 killed Player2 by M16
14/02/2016 15:66:33 - <WORLD> killed Player4 by DROWN
14/02/2016 15:66:36 - <WORLD> killed Player1 by DROWN
14/02/2016 15:76:04 - Player1 killed Player4 using Glock G25
14/02/2016 15:76:08 - Player4 killed Player1 using M16
14/02/2016 15:76:16 - Player1 killed Player2 by M16
14/02/2016 15:76:33 - <WORLD> killed Player4 by DROWN
14/02/2016 15:76:36 - <WORLD> killed Player1 by DROWN
14/02/2016 15:79:22 - Match 11348969 has ended
